ground_truth,prediction
01가0785,01가0785
01가0865,01가0865
01가1134,
01가1366,01가1366
01가1705,01가1705
01가2178,01가2178
01가2246,01가2246
01가2319,355가1101
01가2512,01가2512
01가2525,
01가2636,01가2636
01가3005,01가3005
01가3042,01가3042
01가3315,
01가3372,01가3372
01가3435,01가3435
01다1168,01다1160
01다2040,01다2040
01다2048,01다2048
01다2269,01다2269
01더3538,01더3538
01더3774,01더3774
01더5687,19두2001
01더6704,18부6704
01도3715,01도3715
01도3791,94소0901
01도3879,01도3879
01도4456,01서8355
01도6225,1부6055
01도8872,01도8872
01도9251,001도9251
01도9773,01도9773
01두1316,41가1316
01두1879,01두1879
01두4260,1루4260
01두4770,01두4770
01두4997,01두4997
01두5193,125113
01두5635,01두5635
01두5824,01두5024
01두9433,01두9433
01두9734,01두9734
01버0273,01버0273
01버0502,01버0502
01버0603,50무7744
01버0626,01버0626
01버1529,01버1529
01버3058,01버3058
01버9277,경기3아1002
01보1622,01보16222
01보1926,01보1926
01보4457,81보4457
01보5049,01보5049
01보5804,경기1다0071
01보6063,01보6063
01보7379,01보7397
01보9445,1보9445
01보9701,01보9701
01부1607,01부1607
01부1700,01부1700
01부2363,01부2363
01부2415,01부2415
01부4041,01보4041
01부4156,01부4156
01부4159,01부4159
01부4186,01부4186
01부4241,01부4241
01어2596,01어2596
01어2745,01어2745
01어2905,01어2905
01어2953,12조2003
01어2996,01다2996
01어7865,
01어8402,01어8402
01어8471,01어8477
137로2805,137로2805
13서4854,363145
152가3108,152가3108
169호2218,경66999
18하0273,18하0273
196하7016,8버7016
21오3285,21오3285
292버2818,80머2818
30가8287,30구8282
356거1523,356거1523
36오6703,36오6703
390주1715,38주1757
403주2975,403주2975
43머4083,43머4083
48노0756,38조1555
53주5065,53주5065
67버9669,67버9669
90어6337,94버5337
정답률,62.37%
